GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,#sex+code,#sex+name,,,#indicator+value+num,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1987,1987,,AMR,Americas,,,,,USA,United States of America,,,,,6,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1988,1988,,AMR,Americas,,,,,USA,United States of America,,,,,9,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1990,1990,,AMR,Americas,,,,,USA,United States of America,,,,,7,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1991,1991,,AMR,Americas,,,,,USA,United States of America,,,,,26,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1992,1992,,AMR,Americas,,,,,USA,United States of America,,,,,103,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1993,1993,,AMR,Americas,,,,,USA,United States of America,,,,,19,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1994,1994,,AMR,Americas,,,,,USA,United States of America,,,,,47,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1995,1995,,AMR,Americas,,,,,USA,United States of America,,,,,19,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1996,1996,,AMR,Americas,,,,,USA,United States of America,,,,,3,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1997,1997,,AMR,Americas,,,,,USA,United States of America,,,,,4,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1998,1998,,AMR,Americas,,,,,USA,United States of America,,,,,17,,,,,,15 of 17 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,1999,1999,,AMR,Americas,,,,,USA,United States of America,,,,,6,,,,,,6 of 6 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2000,2000,,AMR,Americas,,,,,USA,United States of America,,,,,4,,,,,,4 of 4 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2001,2001,,AMR,Americas,,,,,USA,United States of America,,,,,4,,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2002,2002,,AMR,Americas,,,,,USA,United States of America,,,,,2,,,,,,2 of 2 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2003,2003,,AMR,Americas,,,,,USA,United States of America,,,,,2,,,,,,2 of 2 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2004,2004,,AMR,Americas,,,,,USA,United States of America,,,,,5,,,,,,5 of 5 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2005,2005,,AMR,Americas,,,,,USA,United States of America,,,,,12,,,,,,8 of 12 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2006,2006,,AMR,Americas,,,,,USA,United States of America,,,,,8,,,,,,4 of 8 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2007,2007,,AMR,Americas,,,,,USA,United States of America,,,,,7,,,,,,4 of 7 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2008,2008,,AMR,Americas,,,,,USA,United States of America,,,,,5,,,,,,4 of 5 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2009,2009,,AMR,Americas,,,,,USA,United States of America,,,,,10,,,,,,8 of 10 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2010,2010,,AMR,Americas,,,,,USA,United States of America,,,,,15,,,,,,15 of 15 reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2011,2011,,AMR,Americas,,,,,USA,United States of America,,,,,42 ,,,,,,40 of 42  reported cases are imported.
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2012,2012,,AMR,Americas,,,,,USA,United States of America,,,,,18,18.00000,,,,,17 of 18 reported cases are imported. 
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2013,2013,,AMR,Americas,,,,,USA,United States of America,,,,,14,14.00000,,,,,12 imported cases
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2014,2014,,AMR,Americas,,,,,USA,United States of America,,,,,7,7.00000,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2015,2015,,AMR,Americas,,,,,USA,United States of America,,,,,4,4.00000,,,,,
CHOLERA_0000000001,Number of reported cases of cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=42,,,,PUBLISHED,Published,,2016,2016,,AMR,Americas,,,,,USA,United States of America,,,,,14,14.00000,,,,,12 of 14 reported cases are imported.
CHOLERA_0000000002,Number of reported deaths from cholera,http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=2446,,,,PUBLISHED,Published,,1987,1987,,AMR,Americas,,,,,USA,United States of America,,,,,0,0.00000,,,,,
